b 13 7 1.000000 1.000000 1.000000 0 0 0
f 0 0.010000 0 9 2 1 
f 1 0.010000 2 3 
f 2 0.010000 2 11 4 
f 3 0.010000 5 12 6 
f 4 0.010000 7 10 8 
f 5 0.010000 9 10 
f 6 0.010000 11 12 
n 0 2 0.300000 1.000000 0.500000
n 1 2 0.750000 0.000000 0.500000
n 2 0 0.512631 0.493813 0.500000
n 3 2 0.254902 0.000000 0.254902
n 4 2 0.254902 0.000000 0.745098
n 5 1 0.564495 0.178124 0.571889
n 6 1 0.355229 0.199467 0.599315
n 7 1 0.487890 0.740318 0.644575
n 8 1 0.256188 0.603650 0.308963
n 9 0 0.423478 0.700262 0.500000
n 10 0 0.400527 0.688787 0.518033
n 11 0 0.367347 0.215446 0.638164
n 12 0 0.361583 0.198819 0.598482
