b 17 9 1 1 1 0 0 0
f 0 0.01 0 13 11 2 1 
f 1 0.01 2 3 
f 2 0.01 2 15 4 
f 3 0.01 5 16 6 
f 4 0.01 7 12 8 
f 5 0.01 9 14 10 
f 6 0.01 11 12 
f 7 0.01 13 14 
f 8 0.01 15 16 
n 0 2 0.25 1 0.5
n 1 2 0.75 0 0.5
n 2 0 0.5 0.5 0.5
n 3 2 0.254902 0 0.254902
n 4 2 0.254902 0 0.745098
n 5 1 0.55 0.25 0.55
n 6 1 0.35 0.2 0.6
n 7 1 0.45 0.75 0.65
n 8 1 0.25 0.6 0.3
n 9 1 0.25 0.9 0.65
n 10 1 0.45 0.75 0.3
n 11 0 0.397541 0.704918 0.5
n 12 0 0.37459 0.693443 0.518033
n 13 0 0.332593 0.834815 0.5
n 14 0 0.335185 0.836111 0.500926
n 15 0 0.361836 0.218145 0.638164
n 16 0 0.356072 0.201518 0.598482
